Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
115,1.4375,0.0625,1.0625,-0.2006836,0.03320313,0.9819336,0.2524414,-0.4282227,-0.5551758
117,2.875,-1.3125,1.875,-0.1928711,0.04443359,0.9897461,0.06982422,-0.112793,-0.2192383
118,2.8125,-1.5,1.8125,-0.1855469,0.05224609,0.9858398,0.06982422,-0.1137695,-0.2163086
120,3,-1.5,1.875,-0.1967773,0.04833984,0.9897461,0.06982422,-0.1137695,-0.2163086
121,3.5,-1.625,1.8125,-0.1855469,0.04833984,0.9780273,0.06982422,-0.1137695,-0.2163086
123,3.6875,-1.3125,2.0625,-0.2045898,0.04443359,0.9975586,0.06982422,-0.1137695,-0.2177734
124,3.75,-1.8125,2.3125,-0.2006836,0.04052734,0.9897461,0.06982422,-0.1137695,-0.2177734
126,4.125,-1.9375,2.4375,-0.1928711,0.03662109,0.9936523,0.06982422,-0.112793,-0.2177734
127,4.3125,-1.5625,2.3125,-0.1967773,0.05224609,0.9975586,0.06982422,-0.112793,-0.2177734
129,4.25,-1.5625,2.5625,-0.1928711,0.05224609,0.9780273,0.06982422,-0.112793,-0.2177734
130,4.125,-1.6875,2.375,-0.1928711,0.04443359,0.9975586,0.06982422,-0.112793,-0.2192383
132,4.4375,-1.6875,2.4375,-0.1967773,0.05615234,0.9819336,0.06982422,-0.112793,-0.2177734
133,4.25,-1.625,2.5,-0.1855469,0.05224609,0.9897461,0.06982422,-0.112793,-0.2177734
135,4.5,-1.625,2.3125,-0.1894531,0.05615234,0.9819336,0.06982422,-0.1152344,-0.2163086
136,4.4375,-1.625,2.5625,-0.1894531,0.05615234,0.9858398,0.06835938,-0.1137695,-0.2177734
138,4.3125,-1.5625,2.25,-0.1855469,0.06005859,0.9858398,0.06835938,-0.1137695,-0.2177734
139,4.1875,-1.1875,2.125,-0.1816406,0.06396484,0.9897461,0.06982422,-0.112793,-0.2163086
141,4.0625,-1.125,2.25,-0.1894531,0.05615234,0.9897461,0.06835938,-0.1152344,-0.2192383
142,4.0625,-1.0625,2.125,-0.1928711,0.06005859,0.9897461,0.06835938,-0.1152344,-0.2192383
144,3.75,-1.3125,1.875,-0.1894531,0.05615234,0.9897461,0.06982422,-0.1137695,-0.2163086
145,3.75,-1.125,1.8125,-0.1855469,0.05615234,0.9858398,0.07080078,-0.1137695,-0.2192383
147,3.625,-1.25,1.8125,-0.1894531,0.05615234,0.9897461,0.07080078,-0.1137695,-0.2192383
148,3.5625,-1.3125,1.9375,-0.1967773,0.04443359,0.9858398,0.07080078,-0.1137695,-0.2177734
150,3.9375,-1.5625,1.875,-0.2006836,0.04833984,0.9858398,0.06982422,-0.1137695,-0.2177734
151,4.125,-1.75,2.25,-0.1967773,0.04833984,0.9819336,0.06982422,-0.1137695,-0.2177734
153,4.125,-1.75,2.0625,-0.1928711,0.05224609,0.9819336,0.06835938,-0.1137695,-0.2163086
154,3.75,-1.6875,2,-0.1855469,0.06005859,0.9819336,0.06689453,-0.1152344,-0.2163086
156,3.6875,-1.6875,1.6875,-0.1816406,0.06787109,0.9780273,0.06689453,-0.1152344,-0.2163086
157,3.3125,-1.5625,1.8125,-0.1894531,0.06396484,0.9819336,0.06835938,-0.1137695,-0.2192383
159,3,-1.5,1.6875,-0.1777344,0.07177734,0.9858398,0.06835938,-0.1137695,-0.2177734
160,2.75,-1.3125,1.3125,-0.1894531,0.06787109,0.9819336,0.06835938,-0.1137695,-0.2177734
162,2.3125,-1.1875,1.25,-0.1855469,0.07568359,0.9819336,0.06835938,-0.1152344,-0.2163086
163,2.125,-1.0625,1.1875,-0.1855469,0.07177734,0.9858398,0.06689453,-0.1152344,-0.2163086
