Using settings file RTIMULib.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 4mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

149391476.228307, -0.106400, -0.069245, 0.025310, -0.062521, 0.062065, 1.013217, -3.378392, 3.499462, 11.005129, 0.061179, 0.061512, -2.331406

149391476.229108, -0.046453, -0.060013, 0.049295, -0.046891, 0.031033, 1.013217, -6.081105, 6.135767, 19.762583, 0.060227, 0.060709, -2.330847

149391476.229867, -0.002717, -0.056358, 0.090417, -0.046891, 0.031033, 1.013217, -8.243276, 8.244810, 26.768545, 0.059654, 0.059960, -2.330107

149391476.230617, 0.025147, -0.049191, 0.129177, -0.046891, 0.031033, 0.997629, -9.973012, 9.932045, 32.373318, 0.059323, 0.059282, -2.329138

149391476.231594, 0.032093, -0.042176, 0.165328, -0.031260, 0.062065, 0.997629, -11.356801, 11.281833, 36.857136, 0.059754, 0.058222, -2.329380

149391476.232627, 0.041256, -0.034845, 0.198010, -0.031260, 0.062065, 0.997629, -12.443295, 12.504520, 40.490837, 0.060312, 0.057210, -2.329055

149391476.233663, 0.043088, -0.033929, 0.227331, -0.031260, 0.077582, 1.013217, -13.312491, 13.482670, 43.397797, 0.061173, 0.056180, -2.328948

149391476.234699, 0.030871, -0.054698, 0.254209, -0.031260, 0.077582, 1.013217, -14.007848, 14.265190, 45.723366, 0.061907, 0.054943, -2.328514

149391476.235730, 0.014378, -0.084631, 0.266732, -0.031260, 0.077582, 0.966453, -14.440915, 14.891206, 47.560497, 0.062537, 0.053450, -2.327951

149391476.236763, 0.007047, -0.123115, 0.252377, -0.031260, 0.077582, 0.966453, -14.787369, 15.392018, 49.030201, 0.063071, 0.051605, -2.327457

149391476.237797, 0.007658, -0.171374, 0.234661, -0.015630, 0.093098, 0.935277, -15.064532, 15.792668, 50.205967, 0.063930, 0.048966, -2.328516

149391476.238847, 0.017737, -0.199474, 0.207172, -0.015630, 0.093098, 0.935277, -15.204118, 16.154005, 51.053284, 0.064865, 0.046081, -2.329662

149391476.239871, 0.017127, -0.190921, 0.189152, -0.000000, 0.046549, 0.966453, -15.315785, 16.443073, 51.731136, 0.064750, 0.043136, -2.329372

149391476.240914, 0.006742, -0.157629, 0.184265, -0.000000, 0.046549, 0.966453, -15.405120, 16.674328, 52.273418, 0.064532, 0.040555, -2.328995

149391476.241897, 0.003993, -0.124643, 0.203813, 0.014889, 0.031033, 0.950865, -15.476587, 16.859333, 52.777214, 0.063971, 0.038128, -2.328424

149391476.242935, -0.006086, -0.095626, 0.235578, 0.014889, 0.031033, 0.950865, -15.431080, 17.007336, 53.180252, 0.063338, 0.035948, -2.327304

149391476.243960, -0.004254, -0.069665, 0.259401, 0.014889, 0.031033, 0.982041, -15.394673, 17.125738, 53.502682, 0.062723, 0.034080, -2.325835

149391476.245035, 0.028733, -0.045535, 0.272840, 0.014889, 0.031033, 0.982041, -15.365548, 17.220461, 53.760624, 0.062473, 0.032453, -2.324042

149391476.246060, 0.060803, -0.029348, 0.262761, 0.014889, 0.062065, 0.950865, -15.260103, 17.377872, 54.036953, 0.063170, 0.031030, -2.323599

149391476.247086, 0.067218, -0.012854, 0.243824, 0.014889, 0.062065, 0.950865, -15.175747, 17.503801, 54.258015, 0.063913, 0.029812, -2.323215

149391476.248110, 0.077297, -0.007967, 0.208089, 0.029778, 0.046549, 0.904101, -15.108262, 17.604544, 54.434864, 0.064439, 0.028359, -2.323148

149391476.249135, 0.067828, -0.021406, 0.174797, 0.029778, 0.046549, 0.904101, -15.033738, 17.664730, 54.506371, 0.064851, 0.026820, -2.323344

149391476.250160, 0.032314, -0.026637, 0.153775, 0.014889, 0.062065, 0.904101, -14.974119, 17.712879, 54.563576, 0.065248, 0.025585, -2.323783

149391476.251211, -0.007236, -0.020993, 0.137680, 0.014889, 0.062065, 0.904101, -14.926424, 17.751398, 54.609341, 0.065236, 0.024434, -2.324283

149391476.252239, -0.016094, -0.021298, 0.121798, 0.074444, 0.077582, 0.919689, -14.970413, 17.823029, 54.599304, 0.065252, 0.022008, -2.327479

149391476.253266, -0.007981, -0.025036, 0.101891, 0.074444, 0.077582, 0.919689, -15.005605, 17.880333, 54.591274, 0.065352, 0.019607, -2.330792

149391476.254286, -0.021420, -0.012208, 0.096088, -0.046891, 0.015516, 0.826161, -15.033757, 17.926178, 54.584850, 0.064174, 0.020097, -2.326896

149391476.255311, -0.037115, 0.004793, 0.102138, -0.046891, 0.015516, 0.826161, -15.056279, 17.962852, 54.579712, 0.062864, 0.020748, -2.322999

149391476.256336, -0.008099, 0.001434, 0.092670, 0.044666, 0.046549, 0.997629, -14.971615, 17.951376, 54.692223, 0.062416, 0.019411, -2.323993

149391476.257399, 0.057852, 0.010074, 0.074274, 0.044666, 0.046549, 0.997629, -14.903884, 17.942196, 54.782230, 0.062659, 0.018201, -2.325091

149391476.258412, 0.076178, 0.021070, 0.055031, 0.044666, 0.046549, 0.935277, -14.849699, 17.934851, 54.854237, 0.063101, 0.017073, -2.326569

149391476.259437, 0.054492, 0.034509, 0.060224, 0.074444, 0.077582, 0.982041, -14.785814, 17.949383, 54.888519, 0.063795, 0.015507, -2.329812

149391476.260462, 0.034508, 0.042753, 0.054770, 0.074444, 0.077582, 0.982041, -14.734707, 17.961010, 54.915943, 0.064281, 0.014060, -2.333009

149391476.261487, 0.031148, 0.035117, 0.038277, 0.029778, 0.093098, 0.950865, -14.693821, 17.970310, 54.937881, 0.065194, 0.013434, -2.335737

149391476.262513, 0.067867, 0.003580, 0.001291, 0.029778, 0.093098, 0.950865, -14.722721, 17.998159, 54.885464, 0.066456, 0.012531, -2.338792

149391476.263538, 0.077203, -0.024003, -0.029832, 0.059555, 0.077582, 0.950865, -14.745841, 18.020439, 54.843529, 0.067406, 0.010793, -2.342396

149391476.264612, 0.025644, -0.013631, -0.018739, 0.059555, 0.077582, 0.950865, -14.764338, 18.038261, 54.809978, 0.067839, 0.009182, -2.345813

149391476.265638, -0.058617, 0.022835, 0.008566, 0.044666, 0.062065, 0.982041, -14.799671, 18.093336, 54.829788, 0.067105, 0.008319, -2.347620

149391476.266662, -0.101336, 0.062421, 0.020047, 0.044666, 0.062065, 0.982041, -14.827938, 18.137396, 54.845634, 0.065960, 0.007861, -2.349238

149391476.267688, -0.112637, 0.088688, 0.009356, 0.089333, 0.077582, 1.013217, -14.850552, 18.172644, 54.858311, 0.064871, 0.006817, -2.352612

149391476.268713, -0.115648, 0.122103, -0.001904, 0.089333, 0.077582, 1.013217, -14.868642, 18.200842, 54.868454, 0.063777, 0.006136, -2.356001

149391476.269738, -0.123379, 0.168569, -0.008741, 0.074444, 0.062065, 0.997629, -14.883115, 18.141768, 54.853245, 0.062403, 0.006224, -2.358519

149391476.270763, -0.142927, 0.221714, -0.009962, 0.074444, 0.062065, 0.997629, -14.894692, 18.094509, 54.841076, 0.060859, 0.006843, -2.361003

149391476.271801, -0.159115, 0.248592, -0.012100, 0.044666, 0.062065, 0.982041, -14.903955, 18.056702, 54.831341, 0.059241, 0.008328, -2.362659

149391476.272838, -0.154839, 0.245233, -0.018820, 0.044666, 0.062065, 0.982041, -14.993510, 17.924416, 54.846878, 0.057694, 0.009749, -2.364496

149391476.273864, -0.143843, 0.218660, -0.032259, 0.029778, 0.062065, 0.982041, -15.065154, 17.818586, 54.859306, 0.056326, 0.011158, -2.366084

149391476.274897, -0.129154, 0.164721, -0.046231, 0.029778, 0.062065, 0.982041, -15.122470, 17.733923, 54.869251, 0.055120, 0.012015, -2.367908

149391476.275925, -0.111484, 0.117300, -0.055125, -0.000000, 0.031033, 0.982041, -15.188858, 17.666193, 54.877205, 0.053523, 0.012978, -2.367695

149391476.276952, -0.076845, 0.075960, -0.054263, -0.000000, 0.031033, 0.982041, -15.241969, 17.612009, 54.883568, 0.052309, 0.013504, -2.367569

149391476.277965, -0.033068, 0.030707, -0.055513, 0.029778, 0.031033, 1.013217, -15.284457, 17.568661, 54.888660, 0.051532, 0.012984, -2.368510

149391476.279039, -0.000080, 0.011522, -0.065108, 0.029778, 0.031033, 1.013217, -15.359521, 17.472757, 54.916058, 0.051094, 0.012298, -2.369681

149391476.280052, 0.022048, 0.011280, -0.063139, 0.014889, 0.015516, 0.997629, -15.419572, 17.396036, 54.937973, 0.050600, 0.011889, -2.369859

149391476.281060, 0.051185, 0.012836, -0.051046, 0.014889, 0.015516, 0.997629, -15.467612, 17.334658, 54.955505, 0.050404, 0.011499, -2.369977

149391476.282112, 0.071955, 0.006728, -0.044327, 0.014889, 0.077582, 0.982041, -15.506045, 17.285555, 54.969532, 0.051683, 0.011031, -2.372496

149391476.283116, 0.072234, -0.003580, -0.039207, 0.014889, 0.077582, 0.982041, -15.536792, 17.327906, 54.934105, 0.052906, 0.010468, -2.374882

149391476.284167, 0.059650, -0.016063, -0.035990, -0.000000, 0.062065, 0.950865, -15.561389, 17.361786, 54.905766, 0.053758, 0.010108, -2.376121

149391476.285177, 0.048527, -0.020210, -0.042109, -0.000000, 0.062065, 0.950865, -15.581066, 17.388891, 54.883091, 0.054458, 0.009725, -2.377376

149391476.286253, 0.043320, -0.024867, -0.057070, -0.000000, 0.062065, 0.966453, -15.637881, 17.451391, 54.911602, 0.055099, 0.009298, -2.378745

149391476.287277, 0.027756, -0.025241, -0.057064, -0.000000, 0.062065, 0.966453, -15.683333, 17.501390, 54.934410, 0.055550, 0.008887, -2.380051

149391476.288290, 0.005644, -0.030092, -0.051677, -0.000000, 0.062065, 0.966453, -15.719695, 17.541391, 54.952656, 0.055770, 0.008437, -2.381270

149391476.289303, -0.001352, -0.044109, -0.047300, -0.000000, 0.077582, 0.950865, -15.769320, 17.552982, 54.920605, 0.056259, 0.007840, -2.383157

149391476.290363, -0.015078, -0.056636, -0.058264, -0.000000, 0.077582, 0.950865, -15.809021, 17.562256, 54.894962, 0.056596, 0.007113, -2.385167

149391476.291378, -0.016255, -0.075775, -0.065410, -0.000000, 0.077582, 0.997629, -15.840781, 17.569675, 54.874451, 0.056846, 0.006243, -2.387046

149391476.292438, -0.003953, -0.084645, -0.082870, -0.000000, 0.077582, 0.997629, -15.866189, 17.575611, 54.858040, 0.057212, 0.005277, -2.389114

149391476.293453, -0.009850, -0.083461, -0.083816, -0.015630, 0.062065, 0.966453, -15.886516, 17.580359, 54.844913, 0.057248, 0.004713, -2.389994

149391476.294466, -0.008446, -0.091870, -0.084743, -0.015630, 0.062065, 0.966453, -15.902777, 17.584156, 54.834412, 0.057297, 0.004079, -2.390875

149391476.295528, -0.011857, -0.103989, -0.074288, -0.015630, 0.062065, 0.982041, -15.915786, 17.587194, 54.826008, 0.057287, 0.003279, -2.391657

149391476.296541, -0.033135, -0.096717, -0.046711, -0.015630, 0.062065, 0.982041, -15.844048, 17.589626, 54.912582, 0.057072, 0.002599, -2.392061

149391476.297545, -0.057853, -0.076741, -0.019714, -0.000000, 0.062065, 0.997629, -15.786657, 17.591572, 54.981842, 0.056604, 0.001804, -2.392676

149391476.298599, -0.074575, -0.048813, -0.011824, -0.000000, 0.062065, 0.997629, -15.740745, 17.593128, 55.037251, 0.055943, 0.001270, -2.393166

149391476.299604, -0.078088, -0.034629, -0.013070, -0.015630, 0.062065, 0.982041, -15.662942, 17.553556, 55.034927, 0.055316, 0.001230, -2.393078

149391476.300648, -0.079434, -0.036292, -0.024456, -0.015630, 0.062065, 0.982041, -15.600699, 17.521898, 55.033070, 0.054657, 0.001167, -2.393094

149391476.301704, -0.067895, -0.042405, -0.035303, -0.000000, 0.077582, 0.982041, -15.550906, 17.496572, 55.031586, 0.054437, 0.000713, -2.394445

149391476.302717, -0.043442, -0.045399, -0.051603, -0.000000, 0.077582, 0.982041, -15.511071, 17.394680, 55.007072, 0.054493, 0.000265, -2.395966

149391476.303727, -0.006348, -0.057600, -0.068457, -0.000000, 0.046549, 0.997629, -15.479203, 17.313166, 54.987461, 0.054273, -0.000274, -2.396373

149391476.304775, 0.000363, -0.067749, -0.068212, -0.000000, 0.046549, 0.997629, -15.453709, 17.247953, 54.971775, 0.054124, -0.000926, -2.396829

149391476.305825, -0.000840, -0.075891, -0.054516, -0.000000, 0.046549, 0.997629, -15.433313, 17.195784, 54.959225, 0.053966, -0.001658, -2.397163

149391476.306830, -0.005607, -0.092532, -0.039316, -0.000000, 0.046549, 0.997629, -15.458070, 17.194864, 54.949184, 0.053765, -0.002515, -2.397340

149391476.307881, -0.001302, -0.096863, -0.038189, -0.000000, 0.046549, 0.997629, -15.477875, 17.194128, 54.941151, 0.053609, -0.003441, -2.397537

149391476.308893, 0.025037, -0.090040, -0.051737, -0.000000, 0.046549, 0.997629, -15.493719, 17.193541, 54.934727, 0.053720, -0.004237, -2.397854

149391476.309946, 0.052915, -0.074091, -0.054834, -0.000000, 0.015516, 0.997629, -15.383176, 17.172663, 55.022881, 0.053502, -0.004913, -2.397038

149391476.310957, 0.061967, -0.061170, -0.030955, -0.000000, 0.015516, 0.997629, -15.294742, 17.155960, 55.093407, 0.053355, -0.005431, -2.395923

