Using settings file RTIMULib.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 4mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

149391561.149277, 0.025984, -0.022157, -0.089831, -0.015630, -0.015483, 0.935277, -3.378392, 2.703543, 11.331664, -0.016553, 0.016708, -2.405272

149391561.150062, 0.008992, -0.001359, -0.074485, -0.015630, -0.015483, 0.935277, -6.081105, 4.866378, 20.396996, -0.016492, 0.016688, -2.405856

149391561.150809, -0.013323, 0.012723, -0.043914, -0.000000, 0.000000, 0.966453, -8.243276, 6.596646, 27.649260, -0.016275, 0.016432, -2.407394

149391561.151798, -0.031581, 0.015146, -0.016976, -0.000000, 0.000000, 0.966453, -9.973012, 7.980860, 33.451073, -0.016268, 0.016238, -2.408744

149391561.152795, -0.024936, -0.000422, 0.006704, -0.015630, 0.000000, 0.982041, -11.377337, 9.047416, 38.092522, -0.016186, 0.016223, -2.409361

149391561.153862, -0.008863, -0.006991, 0.017626, -0.015630, 0.000000, 0.982041, -12.500798, 9.900660, 41.805683, -0.015952, 0.016141, -2.409886

149391561.154863, 0.004779, -0.020897, 0.015461, -0.000000, 0.015516, 0.997629, -13.399567, 10.583255, 44.776211, -0.015288, 0.015586, -2.411648

149391561.155892, 0.019628, -0.027633, 0.001979, -0.000000, 0.015516, 0.997629, -14.077508, 11.149739, 47.105984, -0.014487, 0.014968, -2.413478

149391561.156925, 0.034165, -0.039310, -0.001651, -0.031260, 0.000000, 1.028805, -14.619862, 11.602927, 48.969803, -0.013851, 0.014878, -2.413576

149391561.157966, 0.050190, -0.053134, 0.003168, -0.031260, 0.000000, 1.028805, -15.053744, 11.965478, 50.460857, -0.013061, 0.014646, -2.413605

149391561.158988, 0.059598, -0.038261, 0.022238, -0.031260, 0.000000, 0.997629, -15.462460, 12.296334, 51.630379, -0.012200, 0.014599, -2.413409

149391561.160035, 0.058643, -0.028486, 0.045690, -0.000000, 0.000000, 0.997629, -15.789432, 12.561019, 52.565994, -0.011355, 0.014013, -2.414058

149391561.161062, 0.047840, -0.009348, 0.066854, -0.000000, 0.000000, 0.997629, -16.051010, 12.772767, 53.314487, -0.010644, 0.013641, -2.414491

149391561.162080, 0.049225, -0.000181, 0.078603, -0.015630, 0.000000, 0.982041, -16.260273, 12.942165, 53.913280, -0.009929, 0.013690, -2.414271

149391561.163128, 0.048488, 0.012082, 0.087114, -0.015630, 0.000000, 0.982041, -16.407146, 13.098092, 54.438965, -0.009220, 0.013864, -2.413917

149391561.164148, 0.048663, 0.013921, 0.095745, -0.015630, 0.000000, 0.935277, -16.524645, 13.222834, 54.859512, -0.008535, 0.014067, -2.413456

149391561.165198, 0.053618, 0.014525, 0.107184, -0.015630, 0.000000, 0.935277, -16.618645, 13.322627, 55.195950, -0.007797, 0.014276, -2.412840

149391561.166227, 0.053686, 0.024684, 0.123167, -0.000000, 0.000000, 0.966453, -16.673307, 13.422870, 55.465099, -0.007089, 0.014245, -2.412618

149391561.167240, 0.048967, 0.020576, 0.119677, -0.000000, 0.000000, 0.966453, -16.717037, 13.503064, 55.680420, -0.006451, 0.014169, -2.412420

149391561.168290, 0.038368, 0.033598, 0.114766, -0.000000, 0.031033, 0.997629, -16.752022, 13.567220, 55.852676, -0.005306, 0.014197, -2.413527

149391561.169297, 0.031281, 0.040366, 0.108462, -0.000000, 0.031033, 0.997629, -16.780008, 13.659360, 56.013805, -0.004270, 0.014278, -2.414669

149391561.170313, 0.045274, 0.034732, 0.098405, -0.000000, 0.000000, 0.982041, -16.802399, 13.733072, 56.142708, -0.003726, 0.014341, -2.414524

149391561.171343, 0.050301, 0.041476, 0.095436, -0.000000, 0.000000, 0.982041, -16.820311, 13.792042, 56.245831, -0.003136, 0.014475, -2.414367

149391561.172397, 0.061202, 0.045387, 0.094025, -0.000000, 0.015516, 0.966453, -16.793568, 13.737177, 56.258358, -0.002117, 0.014643, -2.414889

149391561.173443, 0.059017, 0.042936, 0.091149, -0.000000, 0.015516, 0.966453, -16.772173, 13.693285, 56.268379, -0.001146, 0.014779, -2.415458

149391561.174457, 0.061362, 0.048012, 0.067402, -0.000000, 0.046549, 0.966453, -16.755056, 13.658172, 56.276394, 0.000435, 0.014891, -2.417740

149391561.175462, 0.059472, 0.060756, 0.043259, -0.000000, 0.046549, 0.966453, -16.741364, 13.630081, 56.282806, 0.001958, 0.015124, -2.420235

149391561.176531, 0.044506, 0.085801, 0.030431, -0.046891, 0.000000, 0.935277, -16.792019, 13.709649, 56.264614, 0.002372, 0.016720, -2.418809

149391561.177539, 0.045662, 0.085490, 0.037265, -0.046891, 0.000000, 0.935277, -16.832542, 13.773304, 56.250061, 0.002765, 0.018230, -2.417345

149391561.178581, 0.045000, 0.060368, 0.060700, -0.015630, 0.000000, 0.966453, -16.864962, 13.824227, 56.238419, 0.003180, 0.018803, -2.416928

149391561.179630, 0.040464, 0.042652, 0.085734, -0.015630, 0.000000, 0.966453, -16.911434, 13.946599, 56.299076, 0.003549, 0.019186, -2.416199

149391561.180642, 0.045892, 0.042950, 0.094395, -0.000000, 0.015516, 0.966453, -16.948612, 14.044497, 56.347599, 0.004260, 0.019218, -2.416578

149391561.181666, 0.052102, 0.053707, 0.091510, -0.000000, 0.015516, 0.966453, -16.978354, 14.122814, 56.386417, 0.005024, 0.019361, -2.416926

149391561.182677, 0.039045, 0.066629, 0.088986, 0.014889, 0.015516, 0.966453, -17.002148, 14.205876, 56.347504, 0.005619, 0.019313, -2.417736

149391561.183717, 0.025964, 0.072702, 0.076946, 0.014889, 0.015516, 0.966453, -17.021183, 14.272326, 56.316372, 0.006079, 0.019347, -2.418588

149391561.184768, 0.035882, 0.052035, 0.052303, 0.014889, 0.015516, 0.966453, -17.036411, 14.325486, 56.291466, 0.006630, 0.019177, -2.419639

149391561.185782, 0.029745, 0.039876, 0.034458, 0.014889, 0.015516, 0.966453, -17.048594, 14.368014, 56.271542, 0.007094, 0.018873, -2.420842

149391561.186807, 0.030314, 0.033655, 0.026257, 0.014889, 0.000000, 0.997629, -17.058338, 14.402037, 56.255600, 0.007247, 0.018536, -2.421440

149391561.187871, 0.019510, 0.050587, 0.027798, 0.014889, 0.000000, 0.997629, -17.066135, 14.429255, 56.242847, 0.007297, 0.018396, -2.421985

149391561.188868, -0.006914, 0.078227, 0.040967, 0.014889, 0.000000, 0.997629, -17.072372, 14.451029, 56.232647, 0.007078, 0.018494, -2.422395

149391561.189918, -0.072848, 0.121430, 0.073891, -0.000000, 0.000000, 0.966453, -17.118435, 14.570489, 56.177837, 0.006198, 0.019370, -2.421908

149391561.190935, -0.130575, 0.165412, 0.108711, -0.000000, 0.000000, 0.966453, -17.155285, 14.666058, 56.133991, 0.004792, 0.020626, -2.421063

149391561.191961, -0.146152, 0.144643, 0.115736, 0.044666, 0.000000, 0.982041, -17.184765, 14.742513, 56.098911, 0.003199, 0.020757, -2.421465

149391561.193015, -0.127520, 0.095774, 0.109322, 0.044666, 0.000000, 0.982041, -17.228886, 14.783268, 56.187469, 0.001790, 0.020422, -2.421893

149391561.194018, -0.068025, 0.020502, 0.092668, -0.000000, 0.000000, 0.982041, -17.264181, 14.815872, 56.258316, 0.001102, 0.020214, -2.421192

149391561.195060, 0.013241, -0.080395, 0.072179, -0.000000, 0.000000, 0.982041, -17.292418, 14.841955, 56.314991, 0.001227, 0.018989, -2.420678

149391561.196096, 0.077381, -0.145452, 0.041025, 0.059555, 0.000000, 0.950865, -17.273935, 14.822006, 56.313686, 0.001917, 0.015883, -2.422283

149391561.197131, 0.111590, -0.184547, 0.001624, 0.059555, 0.000000, 0.950865, -17.259150, 14.806046, 56.312641, 0.002936, 0.012446, -2.424263

149391561.198146, 0.103954, -0.183325, -0.017618, 0.074444, 0.015516, 0.919689, -17.247320, 14.793279, 56.311806, 0.004111, 0.008745, -2.427445

149391561.199187, 0.083185, -0.162556, -0.030446, 0.074444, 0.015516, 0.919689, -17.237856, 14.783065, 56.311138, 0.005086, 0.005282, -2.430704

149391561.200223, 0.051114, -0.144841, -0.036250, 0.074444, 0.031033, 0.966453, -17.209749, 14.795301, 56.217308, 0.006009, 0.002132, -2.434413

149391561.201246, 0.006384, -0.109200, -0.042364, 0.074444, 0.031033, 0.966453, -17.187263, 14.805091, 56.142242, 0.006469, -0.000578, -2.438085

149391561.202284, -0.045179, -0.072217, -0.053432, 0.059555, 0.062065, 0.935277, -17.169275, 14.812922, 56.082191, 0.007072, -0.002687, -2.442862

149391561.203304, -0.098347, -0.039899, -0.079516, 0.059555, 0.062065, 0.935277, -17.113811, 14.839596, 56.104122, 0.007148, -0.004413, -2.447754

149391561.204347, -0.125280, -0.030986, -0.118207, 0.029778, 0.046549, 0.966453, -17.069441, 14.860934, 56.121666, 0.006661, -0.005297, -2.451363

149391561.205383, -0.131912, -0.032726, -0.144722, 0.029778, 0.046549, 0.966453, -17.033945, 14.878005, 56.135700, 0.006130, -0.006178, -2.455132

149391561.206422, -0.131912, -0.021730, -0.154496, -0.031260, 0.046549, 0.950865, -17.026085, 14.748805, 56.193577, 0.005658, -0.005617, -2.457069

149391561.207416, -0.126145, -0.051771, -0.143768, -0.031260, 0.046549, 0.950865, -17.019796, 14.645445, 56.239876, 0.005309, -0.005354, -2.458877

149391561.208479, -0.103157, -0.073405, -0.134463, -0.000000, 0.046549, 0.935277, -17.014765, 14.562757, 56.276917, 0.005136, -0.006039, -2.461853

149391561.209476, -0.090221, -0.096677, -0.133127, -0.000000, 0.046549, 0.935277, -16.969667, 14.455790, 56.306549, 0.005159, -0.006891, -2.464732

149391561.210509, -0.090116, -0.087765, -0.135108, -0.000000, 0.062065, 0.966453, -16.933588, 14.370216, 56.330254, 0.005444, -0.007701, -2.468349

149391561.211571, -0.108551, -0.073957, -0.131965, -0.000000, 0.062065, 0.966453, -16.904726, 14.301758, 56.349220, 0.005507, -0.008374, -2.471942

149391561.212564, -0.129931, -0.052577, -0.129827, -0.000000, 0.015516, 0.997629, -16.881636, 14.246990, 56.364391, 0.004454, -0.008712, -2.473206

149391561.213632, -0.117328, -0.044593, -0.131878, -0.000000, 0.015516, 0.997629, -16.904236, 14.162360, 56.399853, 0.003461, -0.008999, -2.474636

149391561.214629, -0.109476, -0.047840, -0.131194, -0.000000, 0.015516, 0.997629, -16.922318, 14.094657, 56.428223, 0.002644, -0.009284, -2.476000

