Recommendet Poll Interval: 4mS
Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi
149329461.236820, 0.005958, 0.000874, 0.001372, 0.016000, -0.032000, -1.024000, -3.581818, -2.306123, -6.890910, -3.110353, -0.015616, -2.626305
149329461.237675, 0.007028, 0.001453, -0.000450, 0.016000, -0.032000, -1.024000, -6.447273, -4.151021, -12.403637, -3.110293, -0.015629, -2.626301
149329461.238569, 0.002395, 0.000526, -0.000441, -0.000000, -0.032000, -1.040000, -8.739636, -5.626939, -16.813820, -3.110285, -0.015321, -2.626026
149329461.239629, 0.000850, -0.001578, 0.000465, -0.000000, -0.032000, -1.040000, -10.537164, -6.828082, -20.341965, -3.110289, -0.014998, -2.625706
149329461.240650, 0.000239, -0.004327, 0.001993, 0.016000, -0.016000, -1.088000, -11.975185, -7.788996, -23.164482, -3.110618, -0.014953, -2.625165
149329461.241681, -0.001261, -0.001246, 0.001054, 0.016000, -0.016000, -1.088000, -13.125603, -8.557727, -25.422495, -3.110956, -0.014940, -2.624606
149329461.242709, 0.001457, -0.002416, 0.002825, 0.016000, -0.016000, -1.040000, -14.064118, -9.233936, -27.247087, -3.111246, -0.014928, -2.624040
149329461.243733, 0.002024, -0.000870, 0.001570, 0.016000, -0.016000, -1.040000, -14.814931, -9.774904, -28.706762, -3.111525, -0.014932, -2.623427
149329461.244755, -0.004597, 0.000942, -0.001154, 0.016000, -0.032000, -1.008000, -15.415582, -10.207679, -29.874502, -3.111537, -0.014960, -2.623233
149329461.245777, -0.000613, -0.000871, -0.002326, 0.016000, -0.032000, -1.008000, -15.841557, -10.451858, -30.845057, -3.111510, -0.014970, -2.623071
149329461.246843, 0.003885, -0.002946, 0.000713, 0.016000, -0.032000, -1.040000, -16.182337, -10.647201, -31.621500, -3.111456, -0.014947, -2.622936
149329461.247864, 0.007391, -0.001987, 0.003987, 0.016000, -0.032000, -1.040000, -16.454960, -10.803474, -32.242653, -3.111369, -0.014935, -2.622860
149329461.248885, -0.001734, 0.002540, -0.000283, 0.016000, -0.032000, -1.040000, -16.745787, -11.050942, -32.648666, -3.111376, -0.014969, -2.622690
149329461.249904, -0.001997, -0.002597, -0.003566, 0.048000, -0.032000, -1.040000, -16.978447, -11.248918, -32.973480, -3.111390, -0.015567, -2.622927
149329461.250974, -0.000161, 0.000149, -0.000202, 0.048000, -0.032000, -1.040000, -17.164576, -11.407297, -33.233330, -3.111384, -0.016179, -2.623161
149329461.251994, 0.004029, -0.001648, 0.000699, 0.032000, -0.016000, -1.040000, -17.313478, -11.534001, -33.441208, -3.111636, -0.016457, -2.622718
149329461.253017, 0.004841, -0.004604, 0.002778, 0.032000, -0.016000, -1.040000, -17.396238, -11.594548, -33.662056, -3.111876, -0.016699, -2.622301
149329461.254042, 0.000553, -0.001816, 0.001523, 0.016000, -0.016000, -1.040000, -17.462446, -11.642985, -33.838737, -3.112157, -0.016659, -2.621625
149329461.255067, 0.000242, -0.001179, 0.000893, 0.016000, -0.016000, -1.040000, -17.515411, -11.681735, -33.980080, -3.112436, -0.016626, -2.620954
149329461.256089, 0.000536, -0.002052, 0.000575, -0.000000, -0.032000, -1.024000, -17.557783, -11.712735, -34.111336, -3.112393, -0.016273, -2.620475
149329461.257111, 0.002917, -0.000214, 0.000563, -0.000000, -0.032000, -1.024000, -17.591681, -11.737535, -34.216343, -3.112326, -0.015945, -2.620005
149329461.258179, 0.000463, 0.000986, 0.000551, 0.016000, -0.048000, -1.024000, -17.618799, -11.757376, -34.300346, -3.111970, -0.015950, -2.620259
149329461.259204, -0.000742, -0.000829, 0.000241, 0.016000, -0.048000, -1.024000, -17.658676, -11.773248, -34.294823, -3.111633, -0.015937, -2.620509
149329461.260223, 0.000170, 0.001282, 0.002927, 0.016000, -0.048000, -1.040000, -17.690577, -11.785945, -34.290405, -3.111308, -0.015939, -2.620761
149329461.261243, -0.001627, 0.004245, -0.000424, 0.016000, -0.048000, -1.040000, -17.716097, -11.796103, -34.286869, -3.111007, -0.015972, -2.620979
149329461.262265, -0.003088, 0.001166, 0.001678, -0.000000, -0.032000, -1.040000, -17.736513, -11.804229, -34.284042, -3.111038, -0.015664, -2.620515
149329461.263332, -0.001229, -0.000354, 0.001344, -0.000000, -0.032000, -1.040000, -17.752848, -11.892363, -34.299961, -3.111051, -0.015346, -2.619994
149329461.264352, -0.001502, -0.001842, 0.000119, 0.016000, -0.016000, -1.040000, -17.765915, -11.962870, -34.312695, -3.111369, -0.015334, -2.619255
149329461.265373, -0.004162, -0.003597, 0.000715, 0.016000, -0.016000, -1.040000, -17.776369, -12.019276, -34.322884, -3.111707, -0.015304, -2.618497
149329461.266397, 0.000112, -0.001428, -0.000197, 0.016000, -0.032000, -1.072000, -17.784731, -11.962359, -34.331036, -3.111707, -0.015282, -2.618186
149329461.267419, -0.006468, -0.001996, -0.000492, 0.016000, -0.032000, -1.072000, -17.791422, -11.916826, -34.337555, -3.111773, -0.015255, -2.617919
149329461.268441, 0.002695, -0.001080, -0.002019, 0.016000, -0.016000, -1.024000, -17.796774, -11.880400, -34.342770, -3.112030, -0.015257, -2.617291
