Recommendet Poll Interval: 4mS
Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi
149330516.080967, -0.010548, -0.002632, -0.009415, -0.000000, 0.000000, -0.982557, -2.433719, -4.092375, -10.406286, 3.141593, 0.000000, -2.107307
149330516.084775, -0.008233, -0.001679, -0.005928, -0.000000, 0.000000, -0.982557, -4.360158, -7.468316, -18.731316, 3.141286, 0.000063, -2.106924
149330516.085749, -0.007760, 0.001346, -0.006700, 0.014889, -0.015483, -0.967441, -5.901309, -10.169069, -25.391338, 3.141532, -0.000265, -2.107589
149330516.086739, -0.010587, -0.001672, -0.008353, 0.014889, -0.015483, -0.967441, -7.134231, -12.329672, -30.719357, -3.141440, -0.000557, -2.108196
149330516.087765, -0.012158, -0.004029, -0.006981, 0.014889, -0.015483, -0.982557, -8.202713, -14.017337, -35.028419, -3.141256, -0.000814, -2.108887
149330516.088807, -0.012201, -0.000356, -0.008329, 0.014889, -0.015483, -0.982557, -9.057499, -15.367469, -38.475670, -3.141078, -0.001103, -2.109612
149330516.089878, -0.009552, 0.000249, -0.004267, -0.000000, -0.015483, -0.997673, -9.741327, -16.447575, -41.233471, -3.140878, -0.001086, -2.109838
149330516.090845, -0.006361, -0.002746, -0.005074, -0.000000, -0.015483, -0.997673, -10.226781, -17.230026, -43.439713, -3.140642, -0.001040, -2.110077
149330516.091901, -0.010712, -0.001492, -0.007060, 0.014889, 0.000000, -0.982557, -10.615144, -17.855988, -45.204704, -3.140775, -0.001307, -2.110501
149330516.092941, -0.007796, -0.000265, -0.007809, 0.014889, 0.000000, -0.982557, -10.925835, -18.356756, -46.616699, -3.140875, -0.001581, -2.110923
149330516.093992, -0.009628, -0.001792, -0.005365, 0.014889, -0.061933, -0.982557, -11.174387, -18.818596, -47.722969, -3.139745, -0.001898, -2.112988
149330516.094983, -0.014821, 0.000651, -0.006587, -0.000000, -0.015483, -0.982557, -11.373229, -19.188068, -48.607986, -3.139610, -0.001868, -2.113144
149330516.096011, -0.009127, -0.003249, -0.009438, -0.000000, -0.015483, -0.982557, -11.532303, -19.483646, -49.315998, -3.139427, -0.001799, -2.113252
149330516.097071, -0.010130, -0.001088, -0.008642, -0.000000, -0.030966, -0.967441, -11.659562, -19.720108, -49.882408, -3.138935, -0.001761, -2.113752
149330516.098097, -0.006927, 0.000729, -0.004573, -0.000000, -0.030966, -0.967441, -11.802442, -19.950094, -50.335537, -3.138418, -0.001742, -2.114289
149330516.099115, -0.008575, 0.004003, -0.005074, 0.014889, 0.000000, -0.997673, -11.916745, -20.134083, -50.698040, -3.138569, -0.002045, -2.114603
149330516.100129, -0.009591, 0.000928, -0.007360, 0.014889, 0.000000, -0.997673, -12.008188, -20.281273, -50.988041, -3.138727, -0.002311, -2.114891
149330516.101180, -0.006399, 0.002105, -0.005112, 0.014889, -0.030966, -0.982557, -12.060806, -20.378618, -51.220043, -3.138228, -0.002605, -2.115963
149330516.102230, -0.010450, -0.000032, -0.006798, 0.014889, -0.030966, -0.982557, -12.102901, -20.456493, -51.405643, -3.137780, -0.002871, -2.116993
149330516.103240, -0.009931, 0.002061, -0.001871, -0.000000, 0.000000, -0.967441, -12.136577, -20.518795, -51.554127, -3.137954, -0.002835, -2.116733
149330516.104252, -0.005536, -0.000972, -0.001233, -0.000000, 0.000000, -0.967441, -12.204590, -20.527819, -51.672913, -3.138083, -0.002769, -2.116530
149330516.105280, -0.007214, -0.000653, -0.004796, 0.014889, -0.015483, -0.967441, -12.259000, -20.535038, -51.767941, -3.137910, -0.003020, -2.117271
149330516.106342, -0.005268, -0.001237, -0.005592, 0.014889, -0.015483, -0.967441, -12.302528, -20.540813, -51.843964, -3.137724, -0.003259, -2.118017
149330516.107357, -0.005755, -0.000912, -0.005773, -0.000000, 0.000000, -0.997673, -12.357887, -20.667883, -51.858131, -3.137859, -0.003185, -2.117793
149330516.108406, -0.007129, -0.001790, -0.005950, -0.000000, 0.000000, -0.997673, -12.402175, -20.769539, -51.869469, -3.138007, -0.003104, -2.117558
149330516.109459, -0.009072, -0.001154, -0.006722, 0.014889, -0.015483, -0.982557, -12.437605, -20.850863, -51.878536, -3.137862, -0.003338, -2.118224
149330516.110453, -0.005293, -0.002924, -0.003591, 0.014889, -0.015483, -0.982557, -12.465949, -20.915922, -51.885792, -3.137677, -0.003550, -2.118901
149330516.111461, -0.008470, 0.001025, -0.005309, 0.014889, -0.015483, -0.997673, -12.468087, -20.906746, -51.914921, -3.137533, -0.003791, -2.119539
149330516.112553, -0.003508, 0.001900, -0.003104, 0.014889, -0.015483, -0.997673, -12.469798, -20.899405, -51.938221, -3.137346, -0.004038, -2.120189
