Using settings file RTIMULib.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 4mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

149372600.805348, -0.010548, 0.004393, -0.010026, 0.014889, 0.031033, -0.997673, -4.446281, -0.827069, -10.896091, 3.110497, -0.014915, -2.893864

149372600.806181, -0.007635, 0.002208, -0.006526, 0.014889, 0.031033, -0.982557, -8.003306, -1.488724, -19.612963, 3.110425, -0.014936, -2.893792

149372600.807130, -0.005082, -0.002623, -0.007585, 0.014889, 0.031033, -0.982557, -10.848927, -2.018048, -26.586460, 3.110370, -0.014913, -2.893709

149372600.808150, -0.002882, -0.002867, -0.005631, 0.029778, 0.015516, -0.967441, -13.084351, -2.421099, -32.095287, 3.110637, -0.015205, -2.894493

149372600.809195, -0.007007, 0.001978, -0.004615, 0.029778, 0.015516, -0.967441, -14.872689, -2.743540, -36.502346, 3.110857, -0.015542, -2.895279

149372600.810231, -0.003272, -0.000755, -0.004817, 0.044666, 0.031033, -0.982557, -16.303360, -3.001493, -40.027996, 3.110802, -0.016130, -2.895530

149372600.811229, -0.006193, 0.002849, -0.005613, 0.044666, 0.031033, -0.982557, -17.447897, -3.207855, -42.848515, 3.110720, -0.016741, -2.895772

149372600.812267, -0.007856, -0.000500, -0.008485, 0.044666, 0.015516, -0.967441, -18.342991, -3.311720, -45.128254, 3.110921, -0.017328, -2.896693

149372600.813280, -0.010083, 0.000707, -0.006213, 0.044666, 0.015516, -0.967441, -19.059065, -3.394812, -46.952045, 3.111098, -0.017917, -2.897661

149372600.814321, -0.011067, -0.004092, -0.007278, 0.044666, 0.015516, -0.982557, -19.631926, -3.461286, -48.411079, 3.111263, -0.018430, -2.898634

149372600.815351, -0.009937, -0.000119, -0.009816, 0.044666, 0.015516, -0.982557, -20.069677, -3.534873, -49.578304, 3.111438, -0.018973, -2.899565

149372600.816404, -0.006140, 0.001677, -0.006918, 0.014889, 0.031033, -0.997673, -20.419878, -3.593743, -50.512085, 3.111355, -0.018908, -2.899550

149372600.817430, -0.004814, 0.001642, -0.006175, 0.014889, 0.031033, -0.997673, -20.700039, -3.640838, -51.259109, 3.111288, -0.018843, -2.899544

149372600.818472, -0.003816, -0.001084, -0.004550, 0.044666, 0.031033, -0.982557, -20.944704, -3.698923, -51.880054, 3.111218, -0.019361, -2.899832

149372600.819466, -0.007025, -0.001061, -0.005949, 0.044666, 0.031033, -0.982557, -21.140436, -3.745391, -52.376808, 3.111121, -0.019870, -2.900094

149372600.820536, -0.009269, 0.001354, -0.007917, 0.044666, 0.046549, -0.997673, -21.297022, -3.782565, -52.774212, 3.110703, -0.020380, -2.899681

149372600.821532, -0.010868, -0.000469, -0.008946, 0.029778, 0.046549, -0.997673, -21.360682, -3.832713, -53.045486, 3.110283, -0.020565, -2.899069

149372600.822562, -0.013629, -0.000459, -0.004273, 0.029778, 0.046549, -0.997673, -21.411610, -3.872831, -53.262508, 3.109841, -0.020748, -2.898486

149372600.823586, -0.006764, 0.003139, -0.004781, 0.029778, 0.015516, -0.997673, -21.452351, -3.904925, -53.436123, 3.110092, -0.020966, -2.899242

149372600.824614, -0.009612, 0.002774, -0.005876, 0.029778, 0.015516, -0.997673, -21.484943, -3.930601, -53.575016, 3.110310, -0.021176, -2.899956

149372600.825655, -0.002831, -0.000574, -0.004257, 0.029778, 0.031033, -1.012789, -21.593164, -3.930733, -53.826077, 3.110293, -0.021333, -2.900019

149372600.826692, -0.008453, -0.000861, -0.005065, 0.029778, 0.031033, -1.012789, -21.679741, -3.930839, -54.026924, 3.110219, -0.021483, -2.900086

