Recommendet Poll Interval: 4mS
Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi
149330528.847190, -0.022404, -0.008280, 0.020818, 0.016000, -0.016000, -1.040000, -2.011202, -4.085063, -10.022933, -3.126209, -0.015382, -2.074490
149330528.848142, -0.024025, -0.014684, 0.017091, 0.016000, -0.016000, -1.024000, -3.539470, -7.393137, -18.066185, -3.126426, -0.015247, -2.074440
149330528.849182, -0.018436, -0.012880, 0.017030, 0.016000, -0.016000, -1.024000, -4.762084, -10.039596, -24.500788, -3.126602, -0.015120, -2.074333
149330528.850224, -0.018347, -0.011114, 0.019064, -0.000000, -0.016000, -1.040000, -5.740176, -12.156763, -29.648470, -3.126786, -0.014701, -2.073579
149330528.851249, -0.020951, -0.012076, 0.018962, -0.000000, -0.016000, -1.040000, -6.642607, -13.771005, -33.786732, -3.126987, -0.014283, -2.073006
149330528.852276, -0.024995, -0.010326, 0.016170, -0.000000, -0.016000, -1.040000, -7.364551, -15.062398, -37.097340, -3.127226, -0.013891, -2.072528
149330528.853292, -0.019685, -0.009212, 0.018222, -0.000000, -0.016000, -1.040000, -7.942106, -16.095512, -39.745827, -3.127403, -0.013518, -2.072153
149330528.854502, -0.017177, -0.009018, 0.015147, -0.000000, 0.000000, -1.024000, -8.324476, -16.941996, -41.843342, -3.127894, -0.013145, -2.071436
149330528.855471, -0.023693, -0.009725, 0.016024, -0.000000, 0.000000, -1.024000, -8.630373, -17.619183, -43.521355, -3.128396, -0.012794, -2.070682
149330528.856591, -0.018410, -0.009820, 0.016883, -0.000000, 0.000000, -1.024000, -8.875090, -18.160933, -44.863766, -3.128866, -0.012433, -2.069958
149330528.857455, -0.016826, -0.009015, 0.013239, -0.000000, 0.000000, -1.024000, -9.070864, -18.594332, -45.937695, -3.129267, -0.012113, -2.069162
149330528.858474, -0.021854, -0.009124, 0.013857, 0.016000, 0.000000, -1.040000, -9.207681, -19.000338, -46.774548, -3.129729, -0.012087, -2.068961
