Using settings file RTIMULib.ini
IMU Name: L3GD20 + LSM303DLHC
IMU Init Succeeded
Recommended Poll Interval: 4mS

Time, gyroX, gyroY, gyroZ, accelX, accelY, accelZ, magX, magY, magZ, phi, theta, psi

149372955.342679, -0.001506, -0.001672, -0.003011, 0.059555, 0.000000, 0.997629, 2.700369, -4.378089, 9.862254, 0.000000, -0.059626, 1.122091

149372955.343471, -0.004465, -0.001637, 0.000043, 0.059555, -0.015483, 0.997629, 4.901736, -7.880561, 17.822029, -0.000345, -0.059636, 1.121745

149372955.344221, -0.001381, -0.001004, -0.000556, 0.059555, -0.015483, 0.997629, 6.662830, -10.682538, 24.189848, -0.000658, -0.059640, 1.121376

149372955.344965, -0.001650, -0.000385, 0.000054, 0.059555, -0.015483, 0.997629, 8.071706, -12.924120, 29.284103, -0.000967, -0.059640, 1.121007

149372955.346023, -0.005503, -0.001872, -0.002340, 0.044666, 0.000000, 0.982041, 9.198806, -14.717385, 33.359509, -0.000999, -0.059376, 1.120366

149372955.347042, -0.003593, -0.000637, -0.001692, 0.044666, 0.000000, 0.982041, 10.100486, -16.172405, 36.619831, -0.001010, -0.059104, 1.119751

149372955.348064, -0.002321, 0.001769, 0.000137, 0.014889, 0.000000, 0.982041, 10.821830, -17.336422, 39.228088, -0.000978, -0.058209, 1.118112

149372955.349084, -0.000478, 0.001133, -0.002258, 0.014889, 0.000000, 0.982041, 11.398906, -18.267635, 41.314697, -0.000928, -0.057338, 1.116486

149372955.350149, -0.000767, 0.001110, -0.001014, 0.044666, 0.000000, 0.982041, 11.881103, -18.992197, 43.030632, -0.000914, -0.057089, 1.115940

149372955.351169, -0.004040, 0.004375, 0.000801, 0.044666, 0.000000, 0.982041, 12.266860, -19.571848, 44.403378, -0.000933, -0.056813, 1.115407

149372955.352188, -0.005749, 0.003685, 0.001084, 0.029778, -0.015483, 0.982041, 12.575466, -20.035568, 45.501575, -0.001270, -0.056236, 1.114033

149372955.353206, -0.006226, 0.003010, -0.000434, 0.029778, -0.015483, 0.982041, 12.822351, -20.406544, 46.380135, -0.001604, -0.055678, 1.112662

149372955.354275, 0.000483, 0.000554, -0.001920, 0.029778, -0.015483, 0.997629, 12.999322, -20.764549, 47.013008, -0.001860, -0.055146, 1.111324

149372955.355294, 0.000772, 0.000543, -0.000684, 0.029778, -0.015483, 0.997629, 13.140899, -21.050953, 47.519306, -0.002109, -0.054627, 1.110051

149372955.356313, -0.001935, 0.002026, 0.000228, 0.014889, 0.000000, 0.982041, 13.254161, -21.280075, 47.924347, -0.002059, -0.053819, 1.108625

149372955.357331, -0.005782, -0.001007, -0.001571, 0.014889, 0.000000, 0.982041, 13.344770, -21.442966, 48.295029, -0.002048, -0.053057, 1.107218

149372955.358400, -0.006258, 0.000510, 0.001751, 0.029778, -0.015483, 0.982041, 13.417258, -21.573278, 48.591572, -0.002376, -0.052590, 1.106099

149372955.359419, -0.000744, 0.001695, -0.000379, 0.029778, -0.015483, 0.982041, 13.475248, -21.677528, 48.828808, -0.002639, -0.052120, 1.104984

149372955.360438, -0.006709, 0.000463, -0.000969, 0.029778, 0.000000, 0.982041, 13.501103, -21.699703, 48.971947, -0.002644, -0.051680, 1.104179

149372955.361458, 0.002403, -0.001042, -0.000351, 0.029778, 0.000000, 0.982041, 13.521788, -21.717443, 49.086460, -0.002559, -0.051264, 1.103392

149372955.362477, -0.003628, 0.001073, 0.001451, 0.029778, 0.000000, 0.982041, 13.538335, -21.731636, 49.178070, -0.002537, -0.050836, 1.102634

149372955.363541, -0.001459, -0.001042, 0.001719, 0.029778, 0.000000, 0.982041, 13.633718, -21.722582, 49.228035, -0.002494, -0.050437, 1.101825

149372955.364559, -0.001129, -0.001020, 0.000786, 0.014889, 0.000000, 0.982041, 13.710025, -21.715338, 49.268005, -0.002432, -0.049744, 1.100448

149372955.365578, 0.000689, 0.003486, -0.002519, 0.014889, 0.000000, 0.982041, 13.771070, -21.709543, 49.299980, -0.002351, -0.049019, 1.099021

149372955.366598, -0.002914, 0.003413, -0.003064, 0.014889, 0.000000, 0.982041, 13.819907, -21.704908, 49.325562, -0.002309, -0.048310, 1.097584

149372955.367663, 0.000437, 0.000351, -0.001804, 0.014889, 0.015516, 0.997629, 13.817904, -21.721607, 49.416000, -0.001928, -0.047648, 1.096483

149372955.368683, -0.004057, -0.001151, 0.000028, 0.014889, 0.015516, 0.997629, 13.816300, -21.734966, 49.488350, -0.001602, -0.047014, 1.095432

149372955.369697, -0.000085, 0.001863, -0.001468, 0.029778, 0.000000, 0.982041, 13.815019, -21.745655, 49.546230, -0.001564, -0.046662, 1.094624

149372955.370758, -0.001877, 0.001525, -0.003530, 0.029778, 0.000000, 0.982041, 13.793456, -21.795021, 49.569210, -0.001544, -0.046320, 1.093845

149372955.371778, 0.003245, -0.001199, 0.002525, 0.029778, -0.015483, 0.997629, 13.776206, -21.834515, 49.587593, -0.001784, -0.045996, 1.092854

149372955.372797, -0.003700, 0.000920, 0.002472, 0.029778, -0.015483, 0.997629, 13.762406, -21.866110, 49.602299, -0.002089, -0.045657, 1.091905

149372955.373817, -0.005117, 0.001797, -0.001468, 0.029778, -0.015483, 0.982041, 13.689757, -21.870977, 49.567417, -0.002407, -0.045326, 1.091000

149372955.374884, -0.007102, 0.001760, -0.000540, 0.029778, -0.015483, 0.982041, 13.631639, -21.874872, 49.539513, -0.002742, -0.045002, 1.090165

149372955.375906, 0.001120, -0.000072, 0.001565, 0.044666, 0.000000, 0.982041, 13.585143, -21.877987, 49.517189, -0.002676, -0.045012, 1.090243

149372955.376929, 0.002592, -0.000668, 0.000635, 0.044666, 0.000000, 0.982041, 13.630093, -21.921295, 49.592625, -0.002598, -0.045027, 1.090296

149372955.377952, -0.001948, 0.000243, 0.000023, 0.029778, 0.000000, 0.982041, 13.666052, -21.955942, 49.652973, -0.002562, -0.044731, 1.089793

149372955.378973, -0.002206, -0.000360, 0.003611, 0.029778, 0.000000, 0.982041, 13.694819, -21.983660, 49.701252, -0.002531, -0.044447, 1.089329

149372955.380038, 0.000531, 0.000844, 0.001442, 0.059555, 0.000000, 0.997629, 13.717834, -22.005833, 49.739876, -0.002471, -0.044741, 1.089900

149372955.381059, 0.001118, -0.000370, -0.000382, 0.059555, 0.000000, 0.997629, 13.777317, -21.982756, 49.724125, -0.002407, -0.045041, 1.090389

149372955.382079, 0.001729, 0.003295, 0.000228, 0.014889, -0.015483, 0.997629, 13.824904, -21.964294, 49.711525, -0.002630, -0.044397, 1.088944

149372955.383098, -0.002792, 0.001432, -0.004560, 0.014889, -0.015483, 0.997629, 13.862974, -21.949526, 49.701447, -0.002893, -0.043784, 1.087448

149372955.384117, -0.000939, -0.001888, -0.000278, 0.029778, -0.015483, 0.997629, 13.749676, -21.876486, 49.623413, -0.003149, -0.043519, 1.086593

149372955.385180, -0.001219, 0.000544, 0.000026, 0.029778, -0.015483, 0.997629, 13.659037, -21.818054, 49.560986, -0.003404, -0.043235, 1.085797

149372955.386198, -0.002688, 0.001729, -0.000572, 0.014889, 0.000000, 0.982041, 13.586525, -21.771309, 49.511044, -0.003349, -0.042658, 1.084836

149372955.387229, -0.003528, 0.002290, -0.002354, 0.014889, 0.000000, 0.982041, 13.672271, -21.774729, 49.541061, -0.003303, -0.042087, 1.083820

149372955.388248, 0.001031, 0.002840, -0.002603, 0.029778, 0.000000, 0.982041, 13.740867, -21.777464, 49.565075, -0.003223, -0.041824, 1.083298

149372955.389312, -0.001981, 0.001584, -0.002549, 0.029778, 0.000000, 0.982041, 13.795744, -21.779652, 49.584286, -0.003175, -0.041578, 1.082748

149372955.390331, -0.001640, 0.001551, -0.000701, 0.029778, -0.015483, 0.997629, 13.839645, -21.801811, 49.622978, -0.003433, -0.041323, 1.081887

149372955.391349, -0.000709, -0.002070, -0.003377, 0.029778, -0.015483, 0.997629, 13.874766, -21.819538, 49.653934, -0.003676, -0.041109, 1.081001

149372955.392368, -0.002787, -0.000830, -0.002409, 0.059555, 0.000000, 0.982041, 13.902864, -21.833719, 49.678699, -0.003624, -0.041505, 1.081534

149372955.393431, 0.000262, -0.000215, -0.001162, 0.059555, 0.000000, 0.982041, 13.925342, -21.845064, 49.698509, -0.003543, -0.041888, 1.082057

149372955.394448, 0.000256, -0.003499, 0.003646, 0.059555, -0.015483, 0.966453, 13.861178, -21.813324, 49.714359, -0.003789, -0.042317, 1.082404

149372955.395467, 0.002643, -0.001332, 0.001775, 0.059555, -0.015483, 0.966453, 13.809848, -21.787931, 49.727039, -0.004004, -0.042717, 1.082755

149372955.396490, -0.000104, -0.001304, -0.001252, 0.059555, -0.015483, 0.966453, 13.768784, -21.767618, 49.737183, -0.004242, -0.043108, 1.083092

149372955.397512, 0.002889, 0.000218, 0.000568, 0.029778, 0.000000, 0.966453, 13.715396, -21.792185, 49.791943, -0.004125, -0.042861, 1.082661

149372955.398572, -0.003750, 0.001708, -0.001836, 0.029778, 0.000000, 0.966453, 13.672686, -21.811838, 49.835751, -0.004079, -0.042603, 1.082252

149372955.399599, -0.005465, -0.002813, -0.001199, 0.014889, -0.015483, 0.982041, 13.638517, -21.827560, 49.870796, -0.004351, -0.042076, 1.081029

149372955.400622, 0.000032, -0.000361, 0.001517, 0.014889, -0.015483, 0.982041, 13.693328, -21.860546, 49.828861, -0.004563, -0.041534, 1.079834

149372955.401642, 0.001227, 0.002337, 0.002681, 0.029778, 0.000000, 0.997629, 13.737176, -21.886934, 49.795315, -0.004459, -0.041278, 1.079478

149372955.402664, 0.006284, -0.003094, 0.000831, 0.029778, 0.000000, 0.997629, 13.772255, -21.908045, 49.768478, -0.004305, -0.041081, 1.079094

149372955.403729, 0.000471, -0.000039, 0.000813, 0.029778, 0.000000, 0.982041, 13.800318, -21.924932, 49.747009, -0.004212, -0.040867, 1.078720

149372955.404748, 0.000461, -0.001533, 0.004085, 0.029778, 0.000000, 0.982041, 13.720086, -21.979259, 49.706509, -0.004123, -0.040671, 1.078463

149372955.405768, 0.000451, -0.001501, 0.001009, 0.044666, 0.000000, 0.997629, 13.655901, -22.022720, 49.674107, -0.004036, -0.040767, 1.078752

149372955.406787, -0.001352, -0.001170, -0.000806, 0.044666, 0.000000, 0.997629, 13.604553, -22.057489, 49.648186, -0.003968, -0.040858, 1.079066

149372955.407851, -0.000128, -0.000248, 0.001603, 0.014889, 0.000000, 1.013217, 13.584011, -21.983265, 49.604126, -0.003881, -0.040339, 1.078333

149372955.408869, 0.004659, -0.000243, 0.000672, 0.014889, 0.000000, 1.013217, 13.567577, -21.923885, 49.568878, -0.003748, -0.039830, 1.077593

149372955.409887, -0.001718, -0.002032, 0.001854, 0.029778, 0.000000, 0.997629, 13.554431, -21.876381, 49.540680, -0.003690, -0.039650, 1.077392

149372955.410951, 0.003102, -0.000195, 0.000918, 0.029778, 0.000000, 0.997629, 13.564450, -21.920010, 49.564770, -0.003583, -0.039457, 1.077196

149372955.411969, -0.000551, 0.002799, -0.000895, 0.029778, 0.000000, 0.997629, 13.572465, -21.954914, 49.584042, -0.003516, -0.039237, 1.076994

149372955.412987, 0.000058, -0.002044, -0.001175, 0.029778, 0.000000, 0.997629, 13.578877, -21.982838, 49.599457, -0.003444, -0.039070, 1.076799

149372955.414037, -0.005026, -0.003197, -0.000852, 0.029778, 0.000000, 0.982041, 13.604544, -21.923544, 49.588467, -0.003425, -0.038928, 1.076587

149372955.415068, -0.003425, -0.001635, -0.002329, 0.029778, 0.000000, 0.982041, 13.625076, -21.876108, 49.579674, -0.003389, -0.038773, 1.076332

149372955.416086, 0.000534, 0.001091, -0.000187, 0.044666, 0.000000, 0.966453, 13.641502, -21.838160, 49.572639, -0.003315, -0.038910, 1.076642

149372955.417102, -0.001570, 0.002563, -0.000482, 0.044666, 0.000000, 0.966453, 13.654643, -21.807800, 49.567013, -0.003263, -0.039029, 1.076922

149372955.418123, -0.005125, -0.001079, -0.000472, 0.044666, 0.000000, 0.966453, 13.685693, -21.783514, 49.632484, -0.003248, -0.039183, 1.077166

149372955.419192, 0.000963, 0.000139, 0.002827, 0.044666, 0.000000, 0.966453, 13.710532, -21.764084, 49.684860, -0.003174, -0.039321, 1.077417

149372955.420213, -0.002646, 0.000436, 0.000974, 0.044666, 0.000000, 0.997629, 13.730404, -21.748541, 49.726761, -0.003137, -0.039424, 1.077572

149372955.421237, -0.006477, 0.001323, -0.000243, 0.044666, 0.000000, 0.997629, 13.787374, -21.817738, 49.736958, -0.003139, -0.039517, 1.077697

149372955.422258, -0.006782, -0.001426, -0.001159, 0.029778, -0.015483, 0.950865, 13.832950, -21.873096, 49.745117, -0.003466, -0.039363, 1.077006

149372955.423279, -0.005742, 0.000996, -0.000836, 0.029778, -0.015483, 0.950865, 13.869411, -21.917383, 49.751644, -0.003777, -0.039187, 1.076324

149372955.424346, -0.002931, 0.001574, -0.001715, 0.029778, -0.015483, 0.950865, 13.836970, -21.891588, 49.733540, -0.004055, -0.039009, 1.075659

149372955.425366, 0.005204, 0.002138, -0.000483, 0.044666, 0.000000, 0.982041, 13.811018, -21.870953, 49.719055, -0.003921, -0.039116, 1.075848

149372955.426385, 0.001507, -0.000598, 0.000424, 0.044666, 0.000000, 0.982041, 13.790256, -21.854443, 49.707470, -0.003827, -0.039248, 1.076050

149372955.427406, 0.003269, -0.002080, -0.000781, 0.029778, 0.000000, 1.013217, 13.794183, -21.780010, 49.698200, -0.003716, -0.039073, 1.075636

149372955.428427, 0.003200, -0.003830, -0.003156, 0.029778, 0.000000, 1.013217, 13.797324, -21.720465, 49.690784, -0.003606, -0.038918, 1.075180

